"id","parent_id","root_id"
"1",\N,"1"
"2",\N,"2"
"3",\N,"3"
"4",\N,"4"
"5",\N,"5"
"6",\N,"6"
"7",\N,"7"
"8",\N,"8"
"9",\N,"9"
"10","9","9"
"11","878","1"
"12","1","1"
"13","14","1"
"14","1","1"
"15","16","1"
"16","1","1"
"17","5","5"
"18","1","1"
"19","18","1"
"20","25","6"
"22","1","1"
"24","6","6"
"25","9636","6"
"27","1","1"
"28","1","1"
"30","3714","8"
"31","36","1"
"32","36","1"
"33","19","1"
"34","16","1"
"35","1","1"
"36","1","1"
"37","1","1"
"39","27","1"
"40","37","1"
"42","627","8"
"43","878","1"
"44","18","1"
"49","4","4"
"50","7","7"
"51","878","1"
"52","878","1"
"53","1","1"
"54","18","1"
"56","35","1"
"57","878","1"
"58","2051","8"
"61","8433","8"
"65","3667","8"
"69","18","1"
"71","18","1"
"72","22","1"
"73","5","5"
"74","1295","8"
"75","1721","8"
"76","53","1"
"79","53","1"
"80","1","1"
"81","82","1"
"82","1","1"
"83","1769","8"
"84","3127","2"
"85","6033","2"
"86","158","1"
"87","7","7"
"89","12","1"
"90","254","8"
"92","18","1"
"99","1","1"
"100","10188","8"
"101","99","1"
"103","105","1"
"104","4","4"
"105","1","1"
"106","53","1"
"107","514","8"
"108","566","8"
"110","131","8"
"113","186","8"
"114","35","1"
"115","114","1"
"116","114","1"
"117","114","1"
"121","35","1"
"122","35","1"
"124","35","1"
"126","35","1"
"127","71","1"
"128","6192","8"
"129","44","1"
"130","19","1"
"131","1295","8"
"133","71","1"
"134","18","1"
"135","134","1"
"136","28","1"
"138","28","1"
"139","321","8"
"141","53","1"
"142","53","1"
"143","4391","8"
"144","80","1"
"145","12","1"
"147","12","1"
"148","149","1"
"149","36","1"
"151","14","1"
"152","2757","1"
"154","14","1"
"157","27","1"
"158","27","1"
"159","158","1"
"161","158","1"
"162","158","1"
"163","158","1"
"164","158","1"
"165","168","1"
"166","168","1"
"168","27","1"
"169","39","1"
"170","27","1"
"186","6193","8"
"187","6193","8"
"188","6193","8"
"190","37","1"
"191","37","1"
"192","37","1"
"193","82","1"
"196","16","1"
"197","16","1"
"200","99","1"
"201","99","1"
"202","99","1"
"204","99","1"
"205","99","1"
"206","99","1"
"208","99","1"
"209","2","2"
"210","2","2"
"211","6087","8"
"212","392","8"
"213","6069","8"
"218","878","1"
"219","18","1"
"220","74","8"
"222","1313","8"
"227","228","6"
"228","24","6"
"233","1293","8"
"235","6191","8"
"236","3737","8"
"237","2813","8"
"240","6036","8"
"241","2738","1"
"242","8898","8"
"245","1052","9"
"246","1691","8"
"247","1605","8"
"248","1605","8"
"249","80","1"
"250","241","1"
"251","80","1"
"252","249","1"
"254","1295","8"
"255","2483","8"
"256","3737","8"
"257","6092","8"
"258","6113","8"
"259","1604","8"
"260","3837","8"
"261","387","8"
"262","6147","8"
"263","3851","8"
"264","1312","8"
"265","774","8"
"268","6205","8"
"269","19588","8"
"270","4627","8"
"271","6061","8"
"275","1279","8"
"276","904","8"
"277","530","8"
"278","1313","8"
"279","1290","8"
"280","10188","8"
"282","6105","8"
"285","6147","8"
"290","6152","8"
"291","6205","8"
"292","220","8"
"293","2483","8"
"295","3096","8"
"301","10","9"
"302","4","4"
"303","7","7"
"304","1312","8"
"305","1694","8"
"306","1694","8"
"310","6104","8"
"311","12658","8"
"312","1576","8"
"314","256","8"
"316","7780","8"
"318","6080","8"
"319","2051","8"
"321","6147","8"
"322","3717","8"
"323","321","8"
"324","1295","8"
"328","1279","8"
"329","1030","9"
"330","6025","8"
"331","3758","8"
"332","3711","8"
"333","3705","8"
"334","3809","8"
"335","2211","8"
"338","658","8"
"339","3805","8"
"340","6162","8"
"342","349","8"
"343","3684","8"
"344","349","8"
"345","349","8"
"346","627","8"
"347","19719","8"
"348","10209","8"
"349","186","8"
"350","5995","8"
"351","3736","8"
"352","5995","8"
"353","3","3"
"354","3","3"
"365","6205","8"
"366","1998","8"
"367","3931","8"
"369","6205","8"
"370","261","8"
"371","933","8"
"372","3736","8"
"374","6212","8"
"375","6147","8"
"376","6218","8"
"379","6218","8"
"380","18321","8"
"381","261","8"
"382","372","8"
"383","1317","8"
"385","18315","8"
"386","642","8"
"387","279","8"
"388","1025","8"
"389","10657","8"
"390","6075","8"
"391","3796","8"
"392","1025","8"
"393","6091","8"
"394","6321","8"
"395","6186","8"
"396","6075","8"
"397","396","8"
"398","5996","8"
"399","6152","8"
"400","1474","8"
"402","6017","8"
"403","890","8"
"407","6073","8"
"408","7350","8"
"409","3789","8"
"411","1492","8"
"414","1189","8"
"415","6152","8"
"416","1196","8"
"418","3423","8"
"419","398","8"
"420","6075","8"
"422","1543","8"
"424","262","8"
"426","6092","8"
"428","1189","8"
"429","3837","8"
"430","1291","8"
"434","627","8"
"436","1266","8"
"437","2679","8"
"438","1620","8"
"439","6155","8"
"440","775","8"
"441","627","8"
"442","738","8"
"444","3796","8"
"445","738","8"
"449","1295","8"
"450","6102","8"
"451","1279","8"
"455","6192","8"
"456","6037","8"
"457","1644","8"
"458","9848","8"
"459","738","8"
"460","738","8"
"461","1189","8"
"462","1189","8"
"463","13135","8"
"464","262","8"
"467","10188","8"
"468","233","8"
"470","1189","8"
"471","1258","8"
"472","3786","8"
"473","6110","8"
"475","628","8"
"476","530","8"
"477","3798","8"
"478","1293","8"
"481","6073","8"
"483","5995","8"
"485","1293","8"
"486","1262","8"
"487","1160","8"
"488","186","8"
"490","6242","8"
"491","6034","8"
"493","2132","8"
"494","18321","8"
"495","6146","8"
"496","2132","8"
"497","18315","8"
"502","3851","8"
"503","1474","8"
"504","1472","8"
"505","1474","8"
"508","2333","8"
"509","1295","8"
"510","6038","8"
"511","3731","8"
"512","890","8"
"513","890","8"
"514","1295","8"
"515","3716","8"
"516","262","8"
"519","242","8"
"520","1245","8"
"521","279","8"
"522","890","8"
"524","876","6"
"525","6036","8"
"526","1721","8"
"527","456","8"
"528","6711","8"
"530","6152","8"
"531","279","8"
"532","6032","8"
"534","1290","8"
"535","1174","8"
"536","1293","8"
"537","1293","8"
"538","628","8"
"539","1266","8"
"540","18321","8"
"541","1053","9"
"542","1798","8"
"543","890","8"
"544","1422","8"
"545","890","8"
"546","1471","8"
"548","4627","8"
"549","1189","8"
"550","549","8"
"553","3786","8"
"554","1189","8"
"555","1189","8"
"558","3787","8"
"559","6221","8"
"560","6014","8"
"563","3763","8"
"566","738","8"
"567","7464","8"
"570","6299","8"
"571","566","8"
"572","566","8"
"577","1887","8"
"578","1254","8"
"579","19533","8"
"580","1688","8"
"581","1688","8"
"582","19302","8"
"583","7464","8"
"584","2724","8"
"585","6205","8"
"586","279","8"
"587","1199","8"
"588","131","8"
"589","1293","8"
"591","2051","8"
"592","1698","8"
"593","6123","8"
"596","6038","8"
"599","961","8"
"603","2127","8"
"604","2127","8"
"606","2127","8"
"607","6333","8"
"608","6099","8"
"609","10051","8"
"611","2127","8"
"612","6205","8"
"613","65","8"
"615","2127","8"
"616","5147","8"
"617","2126","8"
"618","2126","8"
"619","2126","8"
"620","2126","8"
"621","2126","8"
"622","3817","8"
"623","2126","8"
"625","262","8"
"626","627","8"
"627","6147","8"
"628","627","8"
"629","131","8"
"630","1174","8"
"631","269","8"
"633","1998","8"
"634","1254","8"
"635","1189","8"
"638","961","8"
"639","6032","8"
"640","566","8"
"641","6039","8"
"642","6191","8"
"643","6075","8"
"644","80","1"
"650","6075","8"
"651","4893","8"
"655","1047","9"
"656","1145","9"
"657","3772","8"
"658","3696","8"
"659","3786","8"
"660","1202","8"
"661","642","8"
"662","6152","8"
"665","1472","8"
"668","1472","8"
"669","1472","8"
"671","1472","8"
"677","6091","8"
"679","2838","8"
"680","279","8"
"684","1030","9"
"688","2482","8"
"690","1458","8"
"692","519","8"
"693","6038","8"
"694","1688","8"
"695","1688","8"
"697","1014","8"
"699","1605","8"
"700","1887","8"
"701","6612","8"
"703","1189","8"
"704","3717","8"
"705","3711","8"
"706","6191","8"
"707","1131","9"
"708","3921","8"
"711","6146","8"
"712","340","8"
"713","6037","8"
"714","6144","8"
"715","985","8"
"716","1295","8"
"717","19236","8"
"718","186","8"
"719","6027","8"
"720","3791","8"
"721","3725","8"
"722","2588","8"
"724","6192","8"
"725","1647","8"
"726","372","8"
"727","1254","8"
"728","18321","8"
"729","2041","8"
"730","2346","8"
"732","1312","8"
"733","1189","8"
"734","1721","8"
"736","1189","8"
"738","3714","8"
"739","262","8"
"740","1312","8"
"741","1604","8"
"742","1189","8"
"743","429","8"
"744","514","8"
"746","1471","8"
"747","1471","8"
"748","1471","8"
"749","1471","8"
"750","1471","8"
"751","1471","8"
"756","1172","9"
"757","1057","9"
"763","6000","8"
"764","6145","8"
"766","1233","8"
"768","1471","8"
"769","6139","8"
"770","6149","8"
"772","6149","8"
"774","6026","8"
"775","1189","8"
"776","886","8"
"779","6075","8"
"780","6075","8"
"782","627","8"
"783","738","8"
"785","3789","8"
"787","279","8"
"789","187","8"
"790","6131","8"
"791","511","8"
"792","509","8"
"793","3737","8"
"794","8603","8"
"795","3809","8"
"796","262","8"
"797","1721","8"
"798","1555","8"
"800","6149","8"
"801","6149","8"
"802","3928","8"
"803","2838","8"
"807","6347","9"
"809","1201","8"
"810","1244","8"
"811","6001","8"
"812","1261","8"
"813","1670","8"
"814","6001","8"
"815","6054","8"
"816","3809","8"
"817","1998","8"
"818","6033","2"
"819","1189","8"
"822","3791","8"
"823","74","8"
"824","108","8"
"825","6040","8"
"826","566","8"
"827","5993","8"
"829","6117","8"
"830","16059","8"
"832","6152","8"
"833","5388","8"
"835","6193","8"
"836","6078","8"
"837","6205","8"
"839","1694","8"
"840","6083","8"
"846","1197","8"
"848","1284","8"
"849","5451","8"
"851","1284","8"
"852","6013","8"
"853","1555","8"
"856","5859","8"
"861","7","7"
"862","7","7"
"863","7","7"
"864","5","5"
"865","5","5"
"866","5","5"
"867","5","5"
"868","5","5"
"869","5","5"
"871","867","5"
"873","867","5"
"874","867","5"
"875","1248","8"
"876","24","6"
"878","1","1"
"879","6622","8"
"880","1349","8"
"881","6126","8"
"883","131","8"
"884","774","8"
"885","3786","8"
"886","6026","8"
"887","11080","8"
"888","1189","8"
"889","1296","8"
"890","889","8"
"892","388","8"
"893","6003","8"
"894","1313","8"
"895","3929","8"
"897","1254","8"
"898","1254","8"
"899","897","8"
"900","3787","8"
"901","1174","8"
"902","3694","8"
"903","2248","8"
"904","279","8"
"905","1507","8"
"906","6131","8"
"907","1159","8"
"909","596","8"
"910","262","8"
"911","2041","8"
"915","706","8"
"916","254","8"
"917","6007","8"
"918","2134","8"
"919","6357","8"
"922","612","8"
"924","1193","8"
"928","1189","8"
"930","3484","8"
"931","3936","8"
"933","279","8"
"934","1189","8"
"935","1189","8"
"936","1014","8"
"939","3","3"
"941","3831","8"
"946","19236","8"
"947","1688","8"
"949","321","8"
"951","999","8"
"952","3693","8"
"953","6031","8"
"955","6014","8"
"956","2132","8"
"957","279","8"
"958","6321","8"
"959","6189","8"
"960","5213","8"
"961","6032","8"
"963","1014","8"
"964","1189","8"
"965","6192","8"
"966","10188","8"
"968","392","8"
"970","18321","8"
"971","409","8"
"972","6036","8"
"973","1729","8"
"974","6126","8"
"975","6146","8"
"976","6152","8"
"977","1174","8"
"978","3830","8"
"980","1600","8"
"981","6035","8"
"982","2217","8"
"983","1159","8"
"985","1240","8"
"986","3736","8"
"987","2064","8"
"989","1189","8"
"990","1174","8"
"992","10161","8"
"994","6076","8"
"995","6187","8"
"996","1946","8"
"997","6031","8"
"998","1189","8"
"999","3796","8"
"1000","8","8"
"1001","1353","8"
"1002","6088","8"
"1003","1189","8"
"1004","6007","8"
"1005","6030","8"
"1007","4115","8"
"1008","6211","8"
"1009","3725","8"
"1010","1759","8"
"1011","738","8"
"1013","6059","8"
"1014","3737","8"
"1016","279","8"
"1019","6075","8"
"1020","2813","8"
"1022","3736","8"
"1023","6198","8"
"1024","2","2"
"1025","1295","8"
"1030","9","9"
"1031","9","9"
"1032","1030","9"
"1033","1030","9"
"1034","1031","9"
"1035","1031","9"
"1037","1039","9"
"1038","1039","9"
"1039","9","9"
"1040","1039","9"
"1041","1039","9"
"1042","1053","9"
"1043","1053","9"
"1044","1053","9"
"1045","1052","9"
"1047","1052","9"
"1048","1053","9"
"1049","1053","9"
"1050","1053","9"
"1051","1053","9"
"1052","1054","9"
"1053","1054","9"
"1054","9","9"
"1055","1052","9"
"1056","9","9"
"1057","1056","9"
"1058","1056","9"
"1059","1056","9"
"1060","1056","9"
"1061","1058","9"
"1062","1058","9"
"1063","1057","9"
"1064","1057","9"
"1066","1057","9"
"1067","1057","9"
"1070","1057","9"
"1071","1057","9"
"1072","1057","9"
"1073","1060","9"
"1075","1059","9"
"1076","1059","9"
"1077","1059","9"
"1078","1059","9"
"1079","6","6"
"1080","3277","6"
"1082","1079","6"
"1084","1080","6"
"1085","1080","6"
"1086","1080","6"
"1087","24","6"
"1088","24","6"
"1089","876","6"
"1092","876","6"
"1093","876","6"
"1094","876","6"
"1095","876","6"
"1096","876","6"
"1097","24","6"
"1098","1097","6"
"1099","1097","6"
"1100","1097","6"
"1101","1088","6"
"1102","228","6"
"1103","228","6"
"1104","228","6"
"1105","1087","6"
"1106","1087","6"
"1107","1087","6"
"1108","4","4"
"1109","4","4"
"1110","4","4"
"1112","4","4"
